title,genres,keywords,tagline,cast,director
The Chambermaid on the Titanic,Drama,,,Olivier Martinez Aitana S\u00e1nchez-Gij\u00f3n Romane Bohringer Didier Bezace,Bigas Luna
The Deep End of the Ocean,Drama Mystery,kidnapping boy reunion,The search for her son was over. The search for her family was just beginning.,Michelle Pfeiffer Treat Williams Whoopi Goldberg Jonathan Jackson Cory Buck,Ulu Grosbard
The Scarlet Letter,Drama History Romance,based on novel burning of witches puritan pregnancy period drama,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",Demi Moore Gary Oldman Robert Duvall Robert Prosky Edward Hardwicke,Roland Joff\u00e9
Some Like It Hot,Comedy Romance,chicago witness musician mafia cross dressing,The movie too HOT for words!,Marilyn Monroe Tony Curtis Jack Lemmon George Raft Pat O\u2019Brien,Billy Wilder
How to Be Single,Comedy Romance,new york based on novel one-night stand single,Welcome to the party,Dakota Johnson Rebel Wilson Alison Brie Nicholas Braun Damon Wayans Jr.,Christian Ditter
Tropic Thunder,Action Comedy,film making satire jungle movie star southeast asia,The movie they think they're making... isn't a movie anymore.,Ben Stiller Jack Black Robert Downey Jr. Nick Nolte Steve Coogan,Ben Stiller
Nerve,Mystery Adventure Crime,based on novel technology internet hacking teenager,Are you a watcher or a player?,Emma Roberts Dave Franco Emily Meade Miles Heizer Juliette Lewis,Henry Joost
Prophecy,Horror Science Fiction,monster mutant toxic native american environmental,,Talia Shire Robert Foxworth Armand Assante Richard Dysart Victoria Racimo,John Frankenheimer
Philadelphia,Drama,gay aids homophobia jurors court,No one would take on his case... until one man was willing to take on the system.,Tom Hanks Denzel Washington Jason Robards Mary Steenburgen Antonio Banderas,Jonathan Demme
Aquamarine,Fantasy Romance Family Comedy,female friendship mermaid teenager woman director,A Fish-Out-Of-Water Comedy.,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton Jake McDorman Arielle Kebbel,Elizabeth Allen Rosenbaum
Drillbit Taylor,Comedy,prison jealousy homeless person beach parents kids relationship,You get what you pay for,Owen Wilson Leslie Mann Josh Peck David Dorfman Nate Hartley,Steven Brill
The Quiet,Drama Thriller,depression christmas party deaf-mute daughter high school sports,Isn't it time everyone hears your secrets?,Elisha Cuthbert Camilla Belle Edie Falco Martin Donovan Shawn Ashmore,Jamie Babbit
Evil Words,Horror Mystery Thriller,suspense psychopathic killer hopital,,Patrick Huard Michel C\u00f4t\u00e9 Catherine Florent Albert Millaire Jean L'Italien,\u00c9ric Tessier
Dracula: Pages from a Virgin's Diary,Horror,dracula independent film,,Wei-Qiang Zhang Tara Birtwhistle David Moroni CindyMarie Small Johnny A. Wright,Guy Maddin
Fight to the Finish,Romance Action,sport fighting,It's all or nothing,Jennifer Hale Evan Hannemann Tonya Kay Anna Ross Tamara Rey,Warren Sheppard
Meet the Spartans,Comedy,fight queen penguin black hole men,"The Bigger the Hit, The Harder They Fall",Sean Maguire Carmen Electra Ken Davitian Kevin Sorbo Diedrich Bader,Jason Friedberg
Rachel Getting Married,Drama,sister independent film maid of honor,,Anne Hathaway Rosemarie DeWitt Sebastian Stan Roslyn Ruff Bill Irwin,Jonathan Demme
