title,genres,keywords,tagline,cast,director
Remember Me,Drama Romance,new york father son relationship grieving romantic drama young adult,Live in the moments.,Robert Pattinson Emilie de Ravin Pierce Brosnan Lena Olin Chris Cooper,Allen Coulter
42nd Street,Music Comedy Romance,philadelphia musical stage show director broken ankle,,Warner Baxter Bebe Daniels George Brent Ruby Keeler Guy Kibbee,Lloyd Bacon
Anastasia,Animation Family,tzar musical russian revolution train explosion foreign language adaptation,Discover the Adventure Behind the Greatest Mystery of Our Time.,Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria,Gary Goldman
Into the Wild,Adventure Drama,male nudity parents kids relationship camping cutting the cord self-discovery,Into the heart. Into the soul.,Emile Hirsch Marcia Gay Harden William Hurt Jena Malone Brian H. Dierker,Sean Penn
A Streetcar Named Desire,Drama,southern usa rape sister sister relationship loss of sense of reality brother-in-law,"...Blanche, who wanted so much to stay a lady...",Vivien Leigh Marlon Brando Kim Hunter Karl Malden Rudy Bond,Elia Kazan
Showgirls,Drama,dancing female nudity go-go dancer spanner seduction,Beyond your wildest dreams. Beyond your wildest fantasies.,Elizabeth Berkley Kyle MacLachlan Gina Gershon Glenn Plummer Robert Davi,Paul Verhoeven
Movie 43,Comedy,slapstick ensemble cast duringcreditsstinger woman director laxative,The biggest cast ever assembled for the most outrageous comedy ever made.,Anna Faris Emma Stone Halle Berry Kate Winslet Hugh Jackman,Griffin Dunne
Ronin,Action Thriller Crime Adventure,paris france arms deal audi impostor,Your ally could become your enemy.,Robert De Niro Jean Reno Natascha McElhone Stellan Skarsg\u00e5rd Sean Bean,John Frankenheimer
Screwed,Action Comedy,,,Norm Macdonald Dave Chappelle Danny DeVito Elaine Stritch Daniel Benzali,Scott Alexander
Star Trek: Insurrection,Science Fiction Action Adventure Thriller,space opera retribution spacecraft officer exploding ship,The battle for paradise has begun.,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
Fast Five,Action Thriller Crime,brazil fbi freedom escape from prison car crash,Get the Fifth Gear.,Vin Diesel Paul Walker Jordana Brewster Tyrese Gibson Ludacris,Justin Lin
The Whole Ten Yards,Comedy Thriller Crime,hitman,"They missed each other. This time, their aim is better.",Bruce Willis Matthew Perry Amanda Peet Kevin Pollak Frank Collison,Howard Deutch
1408,Horror Thriller,suicide new york hotel fire hotel room,The only demons in room 1408 are those within you.,John Cusack Samuel L. Jackson Mary McCormack Jasmine Jessica Anthony Tony Shalhoub,Mikael H\u00e5fstr\u00f6m
Patch Adams,Comedy Drama,nurse hospital doctor laughter,Laughter is contagious,Robin Williams Philip Seymour Hoffman Bob Gunton Peter Coyote Michael Jeter,Tom Shadyac
Ice Age,Animation Comedy Family Adventure,human evolution parents kids relationship squirrel ice loss of child,They came. They thawed. They conquered.,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge
The Last Waltz,Documentary Music,1970s music,It Started as a Concert. It Became a Celebration.,Robbie Robertson Rick Danko Levon Helm Richard Manuel Garth Hudson,Martin Scorsese
"Girl, Interrupted",Drama,based on novel suicide attempt puberty biography borderline personality disorder,"The crazy thing is, you're not crazy.",Winona Ryder Angelina Jolie Clea DuVall Brittany Murphy Elisabeth Moss,James Mangold
Stealth,Action,artificial intelligence u.s. navy aftercreditsstinger,Fear The Sky,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen
LOL,Drama Comedy Romance,coming of age mother daughter relationship teen movie teenager based on film,"You can change your status, but not your heart.",Miley Cyrus Demi Moore Douglas Booth Ashley Greene Ashley Hinshaw,Lisa Azuelos
The Stewardesses,Comedy,female nudity lesbian erotic movie,The Unpublishable Novel Is Now America's Most Controversial Film!,Christina Hart Ronald South William Condos Anita de Moulin Paula Erikson,Al Silliman Jr.
Sex With Strangers,Documentary,,,,
Agora,Adventure Drama History,christianity philosophy egypt new love war,"Alexandria, Egypt. 391 A.D. The World Changed Forever.",Rachel Weisz Max Minghella Oscar Isaac Ashraf Barhom Michael Lonsdale,Alejandro Amen\u00e1bar
Prison,Crime Drama Horror Thriller,prison prisoner revenge haunting electric chair,Horror Has A New Home.,Viggo Mortensen Chelsea Field Lane Smith Lincoln Kilpatrick Tom Everett,Renny Harlin
Premium Rush,Crime Action Thriller,new york dirty cop bicycle courier duringcreditsstinger race against the clock,Ride Like Hell,Joseph Gordon-Levitt Michael Shannon Dania Ramirez Jamie Chung Wol\u00e9 Parks,David Koepp
Sucker Punch,Action Fantasy Thriller,brothel fantasy asylum reality escape,You will be unprepared,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung,Zack Snyder
The Boondock Saints II: All Saints Day,Action Thriller Crime,boston sheep friendship sequel revenge,The Saints Are Calling,Sean Patrick Flanery Norman Reedus Billy Connolly Clifton Collins Jr Julie Benz,Troy Duffy
Brigham City,Crime Drama Mystery Thriller,,,Richard Dutcher Matthew A. Brown Wilford Brimley,Richard Dutcher
Saving Face,Comedy Romance,lesbian relationship lgbt woman director,"A romantic comedy about right, wrong and everything in between.",Michelle Krusiec Joan Chen Lynn Chen Ato Essandoh Jessica Hecht,Alice Wu
I Know What You Did Last Summer,Horror Thriller Mystery,secret blackmail fisherman police high school,"If you're going to bury the truth, make sure it stays buried.",Jennifer Love Hewitt Sarah Michelle Gellar Ryan Phillippe Freddie Prinze Jr. Bridgette Wilson,Jim Gillespie
Steel,Science Fiction Action Adventure,dc comics los angeles soldier military,Heroes don't come any bigger.,Shaquille O'Neal Annabeth Gish Richard Roundtree Judd Nelson Irma P. Hall,Kenneth Johnson
The White Ribbon,Crime Drama Mystery,germany child abuse pastor propaganda children,,Ursina Lardi Ulrich Tukur Burghart Klau\u00dfner Christian Friedel Leonie Benesch,Michael Haneke
Holy Motors,Drama Fantasy,limousine multiple identities wig penis talking car,"From dawn to dusk, a few hours in the shadowy life of a mystic man named Monsieur Oscar.",Eva Mendes Kylie Minogue Michel Piccoli Edith Scob Denis Lavant,Leos Carax
The House Bunny,Romance Comedy,virgin nudity college costume yoga,"For the girls of ZETA house college life was no party, until Shelley showed up.",Anna Faris Emma Stone Kat Dennings Katharine McPhee Rumer Willis,Fred Wolf
The Mask of Zorro,Action Adventure,california spy hero horseback riding sword fight,No one has seen his face... but everyone ... knows this mark.,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell
Quest for Fire,Adventure Drama,stone age cavemen prehistoric adventure prehistoric times prehistoric man,,Everett McGill Ron Perlman Nicholas Kadi Rae Dawn Chong Gary Schwartz,Jean-Jacques Annaud
Les Misérables,Drama Music Romance,france robbery brothel mayor star,Fight. Dream. Hope. Love.,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper
Prefontaine,Drama Romance,oregon olympic games sport runner,He beat the odds... And became a legend!,Jared Leto R. Lee Ermey Ed O'Neill Breckin Meyer Lindsay Crouse,Steve James
Blue Car,Drama,independent film woman director,Ready or not... the future comes just the same.,Margaret Colin Agnes Bruckner David Strathairn Frances Fisher A.J. Buckley,Karen Moncrieff
The Conjuring,Horror Thriller,sister sister relationship exorcism rhode island based on true story farmhouse,Based on the true case files of the Warrens,Patrick Wilson Vera Farmiga Lili Taylor Ron Livingston Shanley Caswell,James Wan
Walking and Talking,Comedy Drama Romance,independent film woman director,A movie for everyone who wants to get married and stay single at the same time.,Catherine Keener Anne Heche Liev Schreiber Randall Batinkoff Amy Braverman,Nicole Holofcener
Girl 6,Comedy,independent film neighbor masturbation phone sex actress,"A fresh, sassy and sexy comedy!",Theresa Randle Isaiah Washington Spike Lee Jenifer Lewis Debi Mazar,Spike Lee
Ghost Dog: The Way of the Samurai,Crime Drama,deportation hitman mission of murder book code,All assassins live beyond the law … only one follows the code,Forest Whitaker Cliff Gorman Tricia Vessey Henry Silva Victor Argo,Jim Jarmusch
Automata,Thriller Science Fiction,artificial intelligence rain future dystopia robot,Your time is coming to an end – Ours is now beginning,Antonio Banderas Birgitte Hjort S\u00f8rensen Dylan McDermott Robert Forster Tim McInnerny,Gabe Ib\u00e1\u00f1ez
We Bought a Zoo,Drama Comedy Family,zoo,A True Zoo Story,Matt Damon Scarlett Johansson Thomas Haden Church Colin Ford Maggie Elizabeth Jones,Cameron Crowe
Minions,Family Animation Adventure Comedy,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions,"Before Gru, they had a history of bad bosses",Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda
Incendies,Drama War Mystery,prison middle east rape muslim militia,The search began at the opening of their mother's will.,Lubna Azabal M\u00e9lissa D\u00e9sormeaux-Poulin Maxim Gaudette R\u00e9my Girard Allen Altman,Denis Villeneuve
Cat on a Hot Tin Roof,Drama Romance,individual suicide southern usa adultery mississippi,Just one pillow on her bed ... and just one desire in her heart!,Elizabeth Taylor Paul Newman Burl Ives Judith Anderson Jack Carson,Richard Brooks
Son of God,Drama,biography resurrection,Their Empire. His Kingdom.,Roma Downey Diogo Morgado Louise Delamere Darwin Shaw Amber Rose Revah,Christopher Spencer
August: Osage County,Comedy Drama,suicide drug addiction funeral dysfunctional family based on play,Misery loves family,Meryl Streep Julia Roberts Chris Cooper Ewan McGregor Margo Martindale,John Wells
Splice,Horror Thriller Science Fiction,dna genetics gene manipulation genetic engineering biological experiment,Science's newest miracle...is a mistake.,Adrien Brody Sarah Polley Delphine Chan\u00e9ac David Hewlett Abigail Chu,Vincenzo Natali
Lone Wolf McQuade,Action Crime Drama Romance Thriller,martial arts kung fu texas fbi wheelchair,The 'Mad Dog' Criminal...The 'Lone Wolf' Lawman...The Ultimate Showdown.,Chuck Norris David Carradine Barbara Carrera Leon Isaac Kennedy Dana Kimmell,Steve Carver
The Looking Glass,,,,Dorothy Tristan Jace Casey Jace Casey Harry Musselwhite Elizabeth Stenholt,John D. Hancock
Are We There Yet?,Adventure Comedy Family Romance,car journey macho road trip children pretty woman,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,Ice Cube Nia Long Aleisha Allen Philip Bolden Jay Mohr,Brian Levant
Dysfunctional Friends,Comedy Romance,,There's a thin line between money and friends.,Stacey Dash Reagan Gomez-Preston Wesley Jonathan Persia White Jason Weaver,Corey Grant
Masked and Anonymous,Drama Music,journalist musical concert independent film,Would you reach out your hand to save a drowning man if you thought he might pull you in?,Bob Dylan Jeff Bridges Pen\u00e9lope Cruz John Goodman Jessica Lange,Larry Charles
From a Whisper to a Scream,Comedy Horror,civil war narration voodoo necrophilia anthology,Welcome to Oldfield. Stop in for a night of pure terror.,Vincent Price Clu Gulager Terry Kiser Rosalind Cash Cameron Mitchell,Jeff Burr
Her Cry: La Llorona Investigation,Horror,,,Nichole Ceballos James Ezrin Everardo Guzman Parker Riggs Gabrielle Santamauro,Damir Catic
The Forbidden Kingdom,Action Adventure Fantasy,tempel shaolin teenager urination staff,The battle for eternity is the fantasy of a lifetime.,Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing,Rob Minkoff
Rollerball,Action Science Fiction Thriller,manager arena dystopia wrestling sport,Go Ballistic,Chris Klein LL Cool J Rebecca Romijn Naveen Andrews Jean Reno,John McTiernan
Kung Fu Hustle,Action Comedy Crime Fantasy,kung fu magic mafia defense gangster,So many gangsters...so little time.,Stephen Chow Yuen Wah Yuen Qiu Lam Tze-Chung Huang Sheng-Yi,Stephen Chow
Nighthawks,Action Crime Thriller,,A terrorist holds New York in a grip of fear - and only Stallone can take him on.,Sylvester Stallone Rutger Hauer Billy Dee Williams Lindsay Wagner Persis Khambatta,Bruce Malmuth
Johnny Suede,Comedy Romance,sex nightclub nudity musician song,Keeping up an image can be a full time job.,Brad Pitt Calvin Levels Catherine Keener Nick Cave Alison Moir,Tom DiCillo
Bananas,Comedy,revolution political activism loser,,Woody Allen Louise Lasser Carlos Montalb\u00e1n Nati Abascal Jacobo Morales,Woody Allen
Message in a Bottle,Romance Drama,sailboat anonymous letter sailing love letter bottle,A story of love lost and found.,Kevin Costner Robin Wright Paul Newman John Savage Illeana Douglas,Luis Mandoki
Full Frontal,Comedy Drama Romance,independent film,Everybody Needs A Release,David Duchovny Nicky Katt Catherine Keener Mary McCormack David Hyde Pierce,Steven Soderbergh
Megaforce,Adventure Action Science Fiction,dictator soldier electronic music score military unit,Deeds not Words,Barry Bostwick Michael Beck Persis Khambatta Henry Silva George Furth,Hal Needham
Falcon Rising,Adventure Action,yakuza marine fighting,,Michael Jai White Neal McDonough Lateef Crowder Laila Ali Hazuki Kato,Ernie Barbarash
Resident Evil: Extinction,Horror Action Science Fiction,clone mutant post-apocalyptic dystopia conspiracy,The Extinction Is Coming...,Milla Jovovich Oded Fehr Ali Larter Iain Glen Mike Epps,Russell Mulcahy
The Statement,Drama Thriller,,"At the end of World War II, many of those involved in war crimes were prosecuted. Some got away. Until now.",Michael Caine Tilda Swinton Jeremy Northam Alan Bates Charlotte Rampling,Norman Jewison
Royal Kill,Action Thriller,bodyguard princess female assassin soldier heir,,Pat Morita Eric Roberts Gail Kim Lalaine Alexander Wraith,Babar Ahmed
The Hudsucker Proxy,Comedy Drama,suicide new york corruption journalist inventor,They took him for a fall guy... but he threw them for a hoop.,Tim Robbins Jennifer Jason Leigh Paul Newman Charles Durning John Mahoney,Joel Coen
Caramel,Drama Comedy Romance,women hairdresser sister sister relationship new love unexpected happiness,,Nadine Labaki Yasmine Al Massri Joanna Moukarzel Gis\u00e8le Aouad Adel Karam,Nadine Labaki
Mutual Friends,,,Surprise parties rarely go well.,Caitlin Fitzgerald Cheyenne Jackson Peter Scanavino Michael Stahl-David Christina Cole,Matthew Watts
Tombstone,Action Adventure Drama History Western,retirement wyatt earp right and justice historical figure,Justice is coming.,Kurt Russell Val Kilmer Sam Elliott Bill Paxton Powers Boothe,George P. Cosmatos
Spaced Invaders,Comedy Family Science Fiction,alien martian misunderstanding greedy developer,,Ariana Richards Douglas Barr Royal Dano William Holmes,Patrick Read Johnson
3:10 to Yuma,Western,saloon hero liberation of prisoners transport of prisoners wilderness,Time waits for one man.,Russell Crowe Christian Bale Logan Lerman Dallas Roberts Peter Fonda,James Mangold
Happy Gilmore,Comedy,loss of mother loss of father golf sport taxes,He doesn't play golf... he destroys it.,Adam Sandler Ben Stiller Christopher McDonald Julie Bowen Frances Bay,Dennis Dugan
The 5th Wave,Adventure Science Fiction,based on novel dystopia alien alien invasion human subjugation,Protect Your Own,Chlo\u00eb Grace Moretz Nick Robinson Alex Roe Maika Monroe Zackary Arthur,J Blakeson
The Edge,Action Adventure Drama,photographer grizzly bear wilderness airplane supermodel,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",Alec Baldwin Anthony Hopkins Elle Macpherson Harold Perrineau L.Q. Jones,Lee Tamahori
Baggage Claim,Comedy,,She's done flying solo.,Paula Patton Adam Brody Djimon Hounsou Taye Diggs Christina Milian,David E. Talbert
In Dreams,Drama Thriller,based on novel suicide attempt dream kidnapping victim of murder,You don't have to sleep to dream,Annette Bening Aidan Quinn Stephen Rea Robert Downey Jr. Paul Guilfoyle,Neil Jordan
After.Life,Drama Horror Mystery Thriller,wheelchair nightmare funeral injection crying,Life is the symptom. Death is the cure.,Liam Neeson Justin Long Christina Ricci Josh Charles Chandler Canterbury,Agnieszka Wojtowicz-Vosloo
It's All Gone Pete Tong,Drama Comedy Music,disc jockey loss of family cocaine comeback recording studio,,Paul Kaye Kate Magowan Neil Maskell Beatriz Batarda Pete Tong,Michael Dowse
Southland Tales,Action Adventure Comedy Drama Science Fiction,suicide brother brother relationship spy prophecy middle east,Have a nice apocalypse.,Dwayne Johnson Seann William Scott Sarah Michelle Gellar Mandy Moore Will Sasso,Richard Kelly
Bad Santa,Drama Comedy Crime,holiday elves christmas party department store safe,He doesn't care if you're naughty or nice.,Billy Bob Thornton Tony Cox Brett Kelly Bernie Mac John Ritter,Terry Zwigoff
Gone with the Wind,Drama Romance War,life and death civil war southern usa loss of child marriage proposal,The greatest romance of all time!,Vivien Leigh Clark Gable Olivia de Havilland Thomas Mitchell Leslie Howard,Victor Fleming
The English Patient,Drama Romance War,cairo egypt identity amnesia world war ii,"In love, there are no boundaries.",Ralph Fiennes Juliette Binoche Willem Dafoe Kristin Scott Thomas Naveen Andrews,Anthony Minghella
London Has Fallen,Action Crime Thriller,london england terrorist terrorist attack,The world's leaders have assembled. So have their enemies.,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi
Chicken Tikka Masala,Comedy Romance Foreign,coming out arranged marriage gay relationship,,Chris Bisson Saeed Jaffrey Sally Bankes Peter Ash Zohra Sehgal,Harmage Singh Kalirai
Fight Valley,Action Drama,new jersey martial arts sister sport murder,One way in. No way out.,Erin O'Brien Miesha Tate Holly Holm Cristiane Justino Susie Celek,Rob Hawk
The Godfather: Part III,Crime Drama Thriller,italy christianity new york assassination italo-american,All the power on earth can't change destiny.,Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola,Francis Ford Coppola
Micmacs,Action Comedy Crime,unemployment contortionist human cannonball,Non Stop Madness,Dany Boon Dominique Pinon Andr\u00e9 Dussollier Jean-Pierre Marielle Julie Ferrier,Jean-Pierre Jeunet
Zoolander 2,Comedy,stupidity sequel fashion male model fashion model,Long time no Z,Ben Stiller Owen Wilson Will Ferrell Pen\u00e9lope Cruz Kristen Wiig,Ben Stiller
Twilight,Adventure Fantasy Drama Romance,soulmates vampire forbidden love immortality trust,"When you can live forever, what do you live for?",Kristen Stewart Robert Pattinson Billy Burke Taylor Lautner Peter Facinelli,Catherine Hardwicke
Soldier,Action War Science Fiction,space marine dystopia alien planet genetic engineering,"Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight",Kurt Russell Jason Scott Lee Jason Isaacs Connie Nielsen Sean Pertwee,Paul W.S. Anderson
Shadow Conspiracy,Action Thriller,,,Charlie Sheen Donald Sutherland Linda Hamilton Stephen Lang Nicholas Turturro,George P. Cosmatos
Red Riding Hood,Fantasy Thriller Horror,winter fantasy fairy tale hood werewolf,Who's afraid?,Amanda Seyfried Gary Oldman Billy Burke Shiloh Fernandez Max Irons,Catherine Hardwicke
The Loss of Sexual Innocence,Drama,,,Julian Sands Saffron Burrows Justin Chadwick Stefano Dionisi Kelly Macdonald,Mike Figgis
The Open Road,Comedy Drama Romance,independent film,They've got a long way to go,Justin Timberlake Jeff Bridges Kate Mara Harry Dean Stanton Mary Steenburgen,Michael Meredith
The Eclipse,Drama Horror Romance,,If there is life after death - love lives on,Ciar\u00e1n Hinds Aidan Quinn Iben Hjejle Jim Norton Valerie Spelman,Conor McPherson
2012,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,We Were Warned.,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
Call + Response,Documentary,,A FILM ABOUT THE WORLD'S 27 MILLION MOST TERRIFYING SECRETS.,,Justin Dillon
Blindness,Drama Mystery Science Fiction Thriller,fight blindness and impaired vision asylum leader society,,Julianne Moore Mark Ruffalo Alice Braga Gael Garc\u00eda Bernal Danny Glover,Fernando Meirelles
To Write Love on Her Arms,Drama Music,depression biography drug,Based on the True Story that started a Global Movement.,Kat Dennings Chad Michael Murray Rupert Friend Corbin Bleu Mark Saul,Nathan Frankowski
Queen Crab,Science Fiction,monster crab actress,,Michelle Simone Miller Kathryn Metz A.J. DeLucia Steve Diasparra Danielle Donahue,Brett Piper
The Ant Bully,Fantasy Adventure Animation Comedy Family,ant child hero shrinking ant-hill children,The battle for the lawn is on.,Julia Roberts Meryl Streep Nicolas Cage Paul Giamatti Bruce Campbell,John A. Davis
The Sea Inside,Drama,brother brother relationship paraplegic intensive care ladykiller wheelchair,Sensitive Drama About a Polemic Theme,Javier Bardem Bel\u00e9n Rueda Lola Due\u00f1as Joan Dalmau Josep Maria Pou,Alejandro Amen\u00e1bar
Go,Crime Comedy Thriller,ecstasy drug dealing drug reference to family circus high,A weekend wasted is never a wasted weekend.,Sarah Polley Katie Holmes Jay Mohr Timothy Olyphant William Fichtner,Doug Liman
Syriana,Drama Thriller,anti terror bomb assassination middle east lebanon,Everything is connected.,George Clooney Matt Damon Jeffrey Wright Chris Cooper Amanda Peet,Stephen Gaghan
Across the Universe,Adventure Drama Music Romance,riot protest musical music cultural difference,All you need is love.,Evan Rachel Wood Jim Sturgess Joe Anderson Dana Fuchs Martin Luther,Julie Taymor
Puss in Boots,Action Adventure Animation Family Fantasy,adventure fairy-tale figure,Live for danger. Fight for justice. Pray for mercy.,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller
The Young Messiah,Drama,egypt jesus christ gospel christian journey,"Before he was the savior, he was a child.",Adam Greaves-Neal Sara Lazzaro Vincent Walsh Sean Bean Jonathan Bailey,Cyrus Nowrasteh
Raiders of the Lost Ark,Adventure Action,saving the world riddle nepal himalaya cairo,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Harrison Ford Karen Allen Paul Freeman Ronald Lacey John Rhys-Davies,Steven Spielberg
The World Is Mine,Drama,,,Ana Maria Guran Iulia Ciochina Oana Rusu Ana Vatamanu Florin Hritcu,Nicolae Constantin Tanase
The Animal,Action Comedy,dream employee car crash scientist police officer,He wasn't much of a man... Now he's not much of an animal!,Rob Schneider Colleen Haskell John C. McGinley Ed Asner Guy Torry,Luke Greenfield
Quinceañera,Drama,,Life's no walk in the park,Emily Rios Jesse Garcia Chalo Gonz\u00e1lez David W. Ross Ramiro Iniguez,Richard Glatzer
Who Killed the Electric Car?,Documentary,energy supply automobile industry independent film,A lack of consumer confidence... or conspiracy?,Martin Sheen Mel Gibson Tom Hanks,Chris Paine
House of 1000 Corpses,Horror,upper class halloween psychopath urban legend youth,You'll never get out alive.,Sid Haig Bill Moseley Sheri Moon Zombie Karen Black Erin Daniels,Rob Zombie
How Do You Know,Comedy Drama Romance,love triangle baseball athlete aftercreditsstinger,How do you know it's love?,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn,James L. Brooks
Sphinx,Adventure Mystery Thriller,cairo based on novel egypt pyramid museum,Someone is hunting tourists out of season.,Lesley-Anne Down Frank Langella Maurice Ronet John Gielgud Vic Tablian,Franklin J. Schaffner
The Hoax,Comedy Drama,flying 1970s false identity biography,Never let the truth get in the way of a good story.,Richard Gere Alfred Molina Marcia Gay Harden Hope Davis Julie Delpy,Lasse Hallstr\u00f6m
The Bridge on the River Kwai,Drama History War,japan resistance japanese river prisoners of war,It spans a whole new world of entertainment!,William Holden Alec Guinness Jack Hawkins Sessue Hayakawa James Donald,David Lean
Cotton Comes to Harlem,Action Adventure,blaxploitation,"Introducing COFFIN ED and GRAVEDIGGER, two detectives only a mother could love.",Godfrey Cambridge Raymond St. Jacques Calvin Lockhart Judy Pace Redd Foxx,Ossie Davis
Street Fighter,Action Adventure Thriller,dictator martial arts hostage liberation of hostage hostage-taking,The fight to save the world is on!,Jean-Claude Van Damme Ra\u00fal Juli\u00e1 Ming-Na Wen Damian Chapa Kylie Minogue,Steven E. de Souza
School for Scoundrels,Comedy Drama Romance,date competition lovesickness mentor traffic policeman,Life's A Game. Learn How To Play.,Billy Bob Thornton Jon Heder Jacinda Barrett Sarah Silverman Michael Clarke Duncan,Todd Phillips
The Truman Show,Comedy Drama,claustrophobia hidden camera dystopia reality show make believe,On the air. Unaware.,Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris,Peter Weir
The Heat,Action Comedy Crime,boston fbi buddy comedy,Action's never been so hot!,Sandra Bullock Melissa McCarthy Demi\u00e1n Bichir Michael Rapaport Taran Killam,Paul Feig
Happy Christmas,Comedy Drama,family mumblecore christmas,Family is the gift that keeps on taking.,Anna Kendrick Melanie Lynskey Mark Webber Lena Dunham Joe Swanberg,Joe Swanberg
Under the Skin,Thriller Science Fiction Drama,male nudity scotland edinburgh alien very little dialogue,A mysterious seductress preys upon the population of Scotland,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,Jonathan Glazer
Freaky Friday,Comedy,single parent brother sister relationship mistake in person bride talk show,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.,Jamie Lee Curtis Lindsay Lohan Mark Harmon Harold Gould Haley Hudson,Mark Waters
Crocodile Dundee II,Adventure Comedy,new york crocodile australia large knife aftercreditsstinger,The world's favourite adventurer is back for more! much more!,Paul Hogan Linda Kozlowski John Meillon Ernie Dingo Charles S. Dutton,John Cornell
Liar Liar,Comedy,california workaholic birthday lie pregnancy and birth,Trust me.,Jim Carrey Maura Tierney Cary Elwes Jennifer Tilly Swoosie Kurtz,Tom Shadyac
Love's Abiding Joy,TV Movie Action Drama Family,,,Erin Cottrell Logan Bartholomew William Morgan Sheppard James Tupper Irene Bedard,Michael Landon Jr.
The Oogieloves in the Big Balloon Adventure,Family,,,Christopher Lloyd Cary Elwes Jaime Pressly Cloris Leachman Chazz Palminteri,Matthew Diamond
The Peanuts Movie,Animation,based on comic strip family 3d charlie brown snoopy,The story of an underdog. And his dog.,Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman,Steve Martino
Jersey Girl,Comedy Romance,yuppie daughter loss of wife,He wanted it all...but he got more than he bargained for.,Ben Affleck Raquel Castro Liv Tyler Jennifer Lopez George Carlin,Kevin Smith
Courage Under Fire,Drama Thriller Mystery War,gulf war pilot u.s. army praise rescue mission,A medal for honor. A search for justice. A battle for truth.,Denzel Washington Meg Ryan Lou Diamond Phillips Matt Damon Michael Moriarty,Edward Zwick
Monte Carlo,Adventure Comedy Romance,monte carlo mistaken identity look-alike young woman texan,She's having the time of someone else's life.,Selena Gomez Katie Cassidy Cory Monteith Leighton Meester Andie MacDowell,Thomas Bezucha
East Is East,Comedy,islam hippie father son relationship muslim jealousy,"A comedy of families, a chip shop... and a very randy dog.",Om Puri Linda Bassett Ian Aspinall Jimi Mistry Archie Panjabi,Damien O'Donnell
The Sisterhood of the Traveling Pants 2,Adventure Comedy Drama Family,female friendship best friend summer vacation woman director young adult,Some friends just fit together.,Alexis Bledel Amber Tamblyn America Ferrera Blake Lively Rachel Nichols,Sanaa Hamri
The Imitation Game,History Drama Thriller War,gay england world war ii mathematician biography,The true enigma was the man who cracked the code.,Benedict Cumberbatch Keira Knightley Matthew Goode Rory Kinnear Allen Leech,Morten Tyldum
Bill & Ted's Excellent Adventure,Adventure Comedy Science Fiction,jealousy journey in the past sigmund freud time travel heavy metal,History is about to be rewritten by two guys who can't spell.,Keanu Reeves Alex Winter George Carlin Dan Shor Hal Landon Jr.,Stephen Herek
The Texas Chainsaw Massacre 2,Horror,hammer gore slasher chainsaw b horror,After a decade of silence... The buzzz is back!,Dennis Hopper Caroline Williams Jim Siedow Bill Moseley Bill Johnson,Tobe Hooper
Flame & Citron,Crime Drama History War,assassin copenhagen resistance repayment world war ii,,Thure Lindhardt Mads Mikkelsen Stine Stengade Peter Mygind Mille Lehfeldt,Ole Christian Madsen
Source Code,Thriller Science Fiction Mystery,bomb identity fantasy bomber suspicion,Make Every Second Count,Jake Gyllenhaal Michelle Monaghan Vera Farmiga Russell Peters Michael Arden,Duncan Jones
Stop-Loss,Drama War,post traumatic stress  disorder iraq war veteran u.s. soldier woman director,The bravest place to stand is by each other's side.,Ryan Phillippe Abbie Cornish Joseph Gordon-Levitt Channing Tatum Josef Sommer,Kimberly Peirce
Cold Mountain,Drama,loss of lover loss of family deserter loss of father love of one's life,Find the strength. Find the courage. No matter what it takes... find the way home.,Jude Law Nicole Kidman Ren\u00e9e Zellweger Eileen Atkins Brendan Gleeson,Anthony Minghella
